sample_id	participant_id	sample_type
sample-0001	sub-366A	tissue
sample-0002	sub-366A	tissue
sample-0003	sub-366A	tissue
sample-0004	sub-366A	tissue
sample-0005	sub-366A	tissue
sample-0006	sub-366A	tissue
sample-0007	sub-366A	tissue
sample-0008	sub-366A	tissue
sample-0009	sub-366A	tissue
sample-0010	sub-366A	tissue
sample-0011	sub-366A	tissue
sample-0012	sub-366A	tissue
sample-0013	sub-366A	tissue
sample-0014	sub-366A	tissue
sample-0015	sub-366A	tissue
sample-0016	sub-366A	tissue
sample-0001	sub-367A	tissue
sample-0002	sub-367A	tissue
sample-0003	sub-367A	tissue
sample-0004	sub-367A	tissue
sample-0005	sub-367A	tissue
sample-0006	sub-367A	tissue
sample-0007	sub-367A	tissue
sample-0008	sub-367A	tissue
sample-0001	sub-368A	tissue
sample-0002	sub-368A	tissue
sample-0003	sub-368A	tissue
sample-0004	sub-368A	tissue
sample-0001	sub-369B	tissue
sample-0002	sub-369B	tissue
sample-0003	sub-369B	tissue
sample-0004	sub-369B	tissue
sample-0005	sub-369B	tissue
sample-0006	sub-369B	tissue
sample-0007	sub-369B	tissue
sample-0008	sub-369B	tissue
sample-0001	sub-370	tissue
sample-0002	sub-370	tissue
sample-0003	sub-370	tissue
sample-0004	sub-370	tissue
sample-0005	sub-370	tissue
sample-0006	sub-370	tissue
sample-0007	sub-370	tissue
sample-0008	sub-370	tissue
sample-0001	sub-371	tissue
sample-0002	sub-371	tissue
sample-0003	sub-371	tissue
sample-0004	sub-371	tissue
sample-0005	sub-371	tissue
sample-0006	sub-371	tissue
sample-0007	sub-371	tissue
sample-0008	sub-371	tissue
sample-0001	sub-372	tissue
sample-0002	sub-372	tissue
sample-0003	sub-372	tissue
sample-0004	sub-372	tissue
sample-0005	sub-372	tissue
sample-0006	sub-372	tissue
sample-0007	sub-372	tissue
sample-0008	sub-372	tissue
sample-0001_acq-roi_chunk-01	sub-373C	tissue
sample-0001_acq-roi_chunk-02	sub-373C	tissue
sample-0001	sub-373C	tissue
sample-0002	sub-373C	tissue
sample-0003	sub-373C	tissue
sample-0004	sub-373C	tissue
sample-0005	sub-373C	tissue
sample-0006	sub-373C	tissue
sample-0007	sub-373C	tissue
sample-0008	sub-373C	tissue
sample-0001	sub-374	tissue
sample-0002	sub-374	tissue
sample-0003	sub-374	tissue
sample-0004	sub-374	tissue
sample-0005	sub-374	tissue
sample-0006	sub-374	tissue
sample-0007	sub-374	tissue
sample-0008	sub-374	tissue
sample-0001	sub-375	tissue
sample-0002	sub-375	tissue
sample-0003	sub-375	tissue
sample-0004	sub-375	tissue
sample-0005	sub-375	tissue
sample-0006	sub-375	tissue
sample-0007	sub-375	tissue
sample-0008	sub-375	tissue
